"outcome" "pol" "metric" "age_group" "cr_beta" "cr_se" "value_2024"
"ac_bronchitis" "PM2.5" "ann_mean" "p8_12" 0.0272124233629641 0.0170957545218314 500
"ed_ast" "O3" "d8h_max" "p0_17" 0.00288183196495801 0.000983365253869195 440
"ed_ast" "PM2.5" "d24h_mean" "p0_17" 0.00472503777340483 0.00147945564582598 440
"ed_cvd" "PM2.5" "d24h_mean" "p0_99" 0.00167503040013608 0.00138470269509691 440
"hosp_ast" "PM2.5" "d24h_mean" "p0_99" 0.0010675504253987 0.000128950539348932 16000
"hosp_ast" "PM2.5" "d24h_mean" "p0_99" 0.0010675504253987 0.000128950539348932 42000
"hosp_chf" "PM2.5" "d24h_mean" "p65_99" 0.00307351444686288 0.00129196114508188 42000
"hosp_copd" "PM2.5" "d24h_mean" "p65_99" 0.00193569035168901 0.000417468314978245 22000
"hosp_copd" "O3" "d24h_mean" "p65_99" 0.00274279622207835 0.0016988272083893 22000
"hosp_copd" "O3" "d8h_max" "p65_99" 0.00191995735545484 0.00118917904587251 22000
"hosp_dys" "PM2.5" "d24h_mean" "p65_99" 0.00124926015674253 0.0020326949762936 42000
"hosp_ihd" "PM2.5" "d24h_mean" "p65_99" 0.00143453425421773 0.00115564906110747 42000
"hosp_mi" "PM2.5" "d24h_mean" "p0_99" 0.00295208676354373 0.000933896431995217 130000
"hosp_pne" "O3" "d8h_max" "p65_99" 0.00258695298811136 0.000721038468576809 37000
"hosp_pne" "O3" "d24h_mean" "p65_99" 0.00369564712587337 0.00103005495510973 37000
"hosp_pne" "PM2.5" "d24h_mean" "p65_99" 0.00397872689127521 0.00165945781842033 37000
"hosp_res" "PM2.5" "d24h_mean" "p65_99" 0.00130312511863633 0.000672007462851793 37000
"hosp_res" "O3" "d24h_mean" "p65_99" 0.00438478984016287 0.00218763192289573 37000
"hosp_res" "O3" "d8h_max" "p65_99" 0.00194451075371125 0.00110115709319201 37000
"minor_ast" "PM2.5" "d24h_mean" "p6_18" 0.00177802107298597 0.000567258947129479 60
"minor_ast" "O3" "d8h_max" "p6_18" 0.00356788305976366 0.00229369769787191 60
"minor_astc" "PM2.5" "d24h_mean" "p6_18" 0.00736738404824292 0.00863923193992627 60
"minor_asts" "PM2.5" "d24h_mean" "p6_18" 0.00265428637016688 0.00132890487686887 60
"minor_astw" "PM2.5" "d24h_mean" "p6_18" 0.00194229693746586 0.000802803439379887 60
"minor_lrs" "PM2.5" "d24h_mean" "p6_14" 0.0190119294822442 0.00600450394072504 21
"minor_mrad" "O3" "d8h_max" "p18_64" 0.002596 0.000776 68
"minor_mrad" "PM2.5" "d24h_mean" "p18_64" 0.00741 7e-04 68
"minor_sld" "O3" "d8h_max" "p5_17" 0.00510553030070457 0.00339247026979113 98
"minor_wld" "PM2.5" "d24h_mean" "p18_64" 0.0046 0.00036 150
"mort_ac" "PM2.5" "ann_mean" "p30_99" 0.00876147079658094 0.00220677428018803 10000000
"mort_copd" "PM2.5" "ann_mean" "p30_99" 0.0157003748809665 0.0164526805801548 10000000
"mort_cp" "PM2.5" "ann_mean" "p30_99" 0.0114406448069914 0.0014849242172469 10000000
"mort_cp" "PM2.5" "ann_mean" "p30_99" 0.0114406448069914 0.0014849242172469 10000000
"mort_cvd" "PM2.5" "ann_mean" "p30_99" 0.023769433116231 0.00399828403368297 10000000
"mort_ihd" "PM2.5" "ann_mean" "p30_99" 0.0215111379616946 0.00205839059311589 10000000
"mort_inf" "PM2.5" "ann_mean" "p0_1" 0.00676586484738149 0.00733882837887196 10000000
"mort_lc" "PM2.5" "ann_mean" "p30_99" 0.014349774229379 0.00271980030243589 10000000
"mort_other" "PM2.5" "ann_mean" "p30_99" -0.00117155038923068 0.00133628141484133 10000000
"mort_res" "PM2.5" "ann_mean" "p30_99" 0.00769610411361284 0.0161861850377152 10000000
"mort_res" "PM2.5" "ann_mean" "p30_99" 0.00769610411361284 0.0161861850377152 10000000
"st_mort_ac" "O3" "d1h_max" "p0_99" 0.000839268270536102 0.000133885047431376 10000000
"st_mort_ac" "O3" "d24h_mean" "p0_99" 0.00148886124937506 0.000394579763592452 10000000
"st_mort_ac" "O3" "d8h_max" "p0_99" 0.000513097918933882 5.21132525582665e-05 10000000
"st_mort_cp" "O3" "d8h_max" "p0_99" 0.000819886319904769 0.000259415562769745 10000000
"st_mort_cp" "O3" "d24h_mean" "p0_99" 0.00124225199985571 0.000393053882984462 10000000
"st_mort_na" "O3" "d24h_mean" "p0_99" 0.00117449449600199 0.000325319003051282 10000000
"st_mort_na" "O3" "d8h_max" "p0_99" 0.0003748376934285 5.64656030759602e-05 10000000
"st_mort_na" "O3" "d1h_max" "p0_99" 0.000369317183761761 0.000129629174280103 10000000
