"OBJECTID" "GEOID" "total" "total_se" "p0_4" "p0_4_se" "p5_9" "p5_9_se" "p10_14" "p10_14_se" "p15_17" "p15_17_se" "p18_19" "p18_19_se" "p20" "p20_se" "p21" "p21_se" "p22_24" "p22_24_se" "p25_29" "p25_29_se" "p30_34" "p30_34_se" "p35_39" "p35_39_se" "p40_44" "p40_44_se" "p45_49" "p45_49_se" "p50_54" "p50_54_se" "p55_59" "p55_59_se" "p60_61" "p60_61_se" "p62_64" "p62_64_se" "p65_66" "p65_66_se" "p67_69" "p67_69_se" "p70_74" "p70_74_se" "p75_79" "p75_79_se" "p80_84" "p80_84_se" "p85_99" "p85_99_se" "p0_1" "p0_1_se" "p0_17" "p0_17_se" "p5_17" "p5_17_se" "p8_12" "p8_12_se" "p6_14" "p6_14_se" "p6_18" "p6_18_se" "p18_64" "p18_64_se" "p0_64" "p0_64_se" "p60_64" "p60_64_se" "p65_69" "p65_69_se" "p65_99" "p65_99_se" "p18_99" "p18_99_se" "p30_99" "p30_99_se" "p0_99" "p0_99_se"
27663 "80002" 17932 496.656534954407 909 148.985786661286 869 128.76206522629 1182 180.112665924262 496 80.6313718831667 452 151.707970891809 189 53.2635204857516 250 71.8483429512813 906 138.623151987737 1615 179.096234575916 1137 136.695686070398 1208 126.404307613654 1200 130.404701330515 1373 132.545102832518 1620 160.432200508462 1358 131.635859690835 404 76.5136820979972 590 81.4793786520115 297 61.7223378643079 488 72.2202777379804 591 92.8838777744451 384 63.8037289405565 188 45.3814762452013 226 54.9269641243843 181.8 29.7971573322572 3456 278.780244326114 2547 235.630346092021 1056.8 119.713629901104 1877.2 207.488700581024 2599.2 235.173991139733 12302 455.086154629592 15758 533.687017606834 994 111.77313046395 785 95.0021868589708 2174 163.707653636719 14476 483.635817526772 11064 389.354939684874 17932 496.656534954407
27664 "80003" 35797 601.215805471125 2083 233.368943386649 2299 185.435246719388 2628 225.563864391622 1422 161.644983846818 970 138.095646931151 431 95.9735769230817 374 81.2704801131056 1515 189.914885736332 2797 294.230575946116 2657 186.627129884605 2144 178.309385435115 2323 167.283743535769 2387 190.83208468356 2903 200.119143012186 2466 183.189651119966 877 114.421441747654 1079 126.299016980744 743 108.773828775321 850 109.547378917759 1103 127.173775330627 841 95.3477563919453 618 92.2451088943404 287 52.5545890493641 416.6 46.6737886773297 8432 407.253547787372 6349 333.757978852941 2496.4 154.331647457942 4467.2 269.97452580539 6374.2 322.153608255467 22923 625.45983675286 31355 746.36148050145 1956 170.422146512459 1593 154.377375460894 4442 245.698764303145 27365 671.988013413191 21278 542.25673662816 35797 601.215805471125
27665 "80004" 36680 552.58358662614 2246 208.407818898479 2094 186.22572213828 2256 176.527460130475 1231 117.121892559682 847 109.456259565236 495 101.060058891645 490 102.172880421157 1271 157.803166678937 1976 174.476557412666 2541 180.589067203805 2394 185.462148323451 1865 150.273752963151 2517 161.49745943174 3063 175.810053457583 2666 149.337589427709 1082 108.426742533004 1413 112.34364921229 616 64.4491588119079 1036 95.3477563919453 1184 104.081043914317 1380 118.385058323103 879 93.7708442966315 1138 125.034524661889 449.2 41.6815637796958 7827 350.704035421356 5581 282.06293886791 2191.2 129.48784899978 3931.2 230.991681051738 5585.7 264.70712612503 22620 530.318403102837 30447 635.791576800422 2495 156.132808898875 1652 115.086440211435 6233 250.038753105447 28853 586.30792824596 23774 505.746945090964 36680 552.58358662614
27666 "80005" 27523 525.227963525836 1686 149.719421747726 1771 126.519734019732 1803 151.913665157147 1265 112.198821266422 593 98.5271380710201 261 58.4662129534083 321 75.401996968815 852 117.350423299057 1244 130.745732823116 1230 113.806146371663 2005 157.872235090021 2004 134.290103552429 2323 150.89341081128 2288 143.881729644003 2130 133.254165451568 921 96.2043291942685 951 96.1044045684284 585 65.0484333101298 843 76.1433060130702 1010 83.3957477915745 672 71.7737247083061 402 59.7633628363859 363 55.1284330638523 337.2 29.9438843495451 6525 272.193838100625 4839 227.318235633387 1790.2 104.255230533339 3219.8 182.544233661841 4781.3 219.858754592306 17123 430.470688678999 23648 509.307862998129 1872 135.982828081973 1428 100.145402923462 3875 169.547113524564 20998 462.656716709358 17727 405.43102110704 27523 525.227963525836
27667 "80007" 7061 173.860182370821 272 47.0604674357736 578 61.9524173305642 515 64.9204830387661 420 55.9864888338152 159 43.6717934484178 90 34.0262661863989 64 25.7911287970777 126 42.9206884087632 106 30.1387361853873 151 40.4426683975195 463 58.5609462798409 537 51.1686577787695 602 57.7603575451414 763 71.7968903931559 570 59.7509945906333 324 57.2494640301009 304 44.4434692436091 331 44.9395977587264 210 32.680073083807 171 34.4311301118694 138 28.0229314811334 100 26.3018938027768 67 24.9462425880647 54.4 9.41209348715473 1785 115.766772686724 1513 105.769835317193 540.2 46.1668409637402 977.4 81.6765229816437 1476.9 101.401911836317 4259 177.420139173417 6044 211.848652208633 628 72.475672402134 541 55.5657684503606 1017 79.8276059388667 5276 194.551670396956 4731 177.114733671975 7061 173.860182370821
27668 "80010" 43999 836.474164133739 4671 308.175510854053 4346 246.179593084137 3577 271.449503442416 1894 160.378060564405 1294 144.891420418803 756 109.714234516792 540 97.9987478730049 2240 198.041985556038 4012 257.241281184437 3658 251.021876577494 3469 236.20756805574 2872 210.648604773337 2464 178.820559577989 2184 153.499954792332 2013 156.249924936004 601 100.069727448067 731 95.1207537705466 400 66.2864903272169 397 67.2825034078379 580 79.9571212034402 524 72.2253944816007 376 54.9706783884659 400 72.8596218509468 934.2 61.6351021708105 14488 504.957911880546 9817 400.01293389165 3884.6 190.324046244976 7053.8 335.367923081233 9594.8 378.736250007791 26834 640.485756750956 41322 815.600697260373 1332 138.064869352806 797 94.4501670973955 2677 169.884616380182 29511 662.633222441711 20669 539.494755436822 43999 836.474164133739
27669 "80011" 47287 846.808510638298 4516 248.25738497955 4095 257.785883940455 3240 236.054980435291 1885 172.800562940421 1712 185.859240312058 830 119.243495757142 690 129.840966077532 2454 229.812963934753 3960 275.709190770786 3674 225.257290257283 3142 233.997548272294 2971 209.437270357054 2800 202.498231961159 2662 196.953919362174 2309 204.733302359257 839 112.126337143397 1243 131.696203526104 528 85.6344882817767 904 100.185985711038 1003 105.321670868984 771 102.30842303422 447 62.7819625302806 612 86.8471557957052 903.2 49.6514769959101 13736 462.241581315094 9220 389.917363424347 3582 175.192674724784 6516 313.452123045995 9257 369.794784031511 29286 703.874194550847 43022 842.084414563814 2082 172.963017736115 1432 131.797182504688 4265 224.530996487154 33551 738.81868556373 23905 592.791825946052 47287 846.808510638298
27670 "80012" 48382 981.155015197568 4050 266.737025052061 4008 313.348947562072 2905 249.351298504482 1764 166.791495583149 1040 128.117574718124 550 103.522105567942 910 157.474971369571 2230 202.817343821877 4149 294.020125161621 3529 217.67502191606 3527 232.586160585843 3105 217.520476834303 3022 215.312592686016 2794 198.682851573255 2858 187.163962726699 1174 129.831004200828 1648 136.269232343354 855 98.3243916685387 722 90.2423369717315 1196 100.82026091902 1062 109.714234516792 729 101.884933731869 555 86.1164550369108 810 53.3474050104123 12727 509.246184606834 8677 433.800686955419 3346.2 195.175293758803 6111.4 353.576173329534 8395.4 396.155325072293 30536 696.129327293025 43263 862.5124444633 2822 188.216347152001 1577 133.459227403382 5119 240.436867381365 35655 736.482129799226 26776 602.406766776292 48382 981.155015197568
27671 "80013" 71619 853.495440729483 5277 321.508716933402 5578 320.864401016924 5452 291.485399848199 2854 202.315656339825 1891 173.652819140703 959 139.27209550422 936 175.911968987732 2420 210.780137947908 5513 286.632425063321 5943 305.671122660933 5531 298.514907699292 5461 280.625312234852 5217 257.585110503128 5272 272.00709627246 5055 270.210543581727 1677 146.795609444023 1858 143.167224747577 1295 110.479528018443 965 91.236054831633 1104 105.743628068019 600 72.8317203776488 432 80.5213011347813 329 71.6861423392483 1055.4 64.3017433866804 19161 576.382843281261 13884 478.381988545585 5502.4 216.932201416182 9914.4 388.399633344616 13713.9 446.457977172908 47733 850.751136650673 66894 1027.61601707126 3535 205.050738096612 2260 143.282042881928 4725 220.541381882166 52458 878.872002987299 40739 751.885992002176 71619 853.495440729483
27672 "80014" 37059 606.079027355623 1792 181.399643075306 1644 180.481602639356 1886 180.20394556402 1175 130.331000728276 626 105.790796442114 365 82.2175808520205 294 76.0072923434944 1518 163.104960016558 2937 251.899226138462 2769 216.897787825373 2316 206.887976598682 2094 178.787491352824 2526 205.988449667726 2197 165.961900248651 2679 202.336660919716 963 126.111616578753 1516 120.419992845368 946 117.537644144505 1206 114.144969274919 1627 159.48036015009 1290 123.995767437005 1164 103.744973652742 1529 153.254196650935 358.4 36.2799286150611 6497 339.026652561112 4705 286.414456057903 1789.2 130.008552570459 3201.2 230.912476248585 4689.2 270.37874286092 22800 613.935717073229 29297 701.324558136254 2479 174.370623996661 2152 163.841911005129 7762 319.222454985608 30562 691.968236601405 24822 604.181314384758 37059 606.079027355623
