"GEOID" "mort_ac" "mort_ac_se" "mort_na" "mort_na_se" "hosp_cp" "hosp_cp_se" "hosp_cvd" "hosp_cvd_se" "hosp_res" "hosp_res_se" "ed_ast" "ac_bronchitis" "minor_lrs" "minor_wld" "minor_mrad" "minor_asts" "minor_sld" "minor_astc" "minor_ast" "minor_astw" "hosp_mi" "ed_ast_se" "hosp_mi_se" "minor_astc_se" "minor_asts_se" "minor_astw_se" "minor_ast_se" "minor_mrad_se" "minor_sld_se" "minor_wld_se" "minor_lrs_se" "ac_bronchitis_se"
80002 0.0000321417605166454 0.00755980766866003 0.0000321417605166454 0.00755980766866003 0.00040301949565853 0.0420185273407446 0.000246247684339202 0.0256736092632317 0.000156771811319328 0.0163449180775129 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80003 0.0000284556561732679 0.00928151795442154 0.0000284556561732679 0.00928151795442154 0.000368956350650392 0.0549856380948654 0.000220683019496339 0.0328884341530305 0.000148273331154053 0.0220972039418349 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80004 0.0000397579489968897 0.0137075583609254 0.0000397579489968897 0.0137075583609254 0.000418277440666009 0.0738410744866255 0.000252390612053828 0.0445560581864442 0.000165886828612181 0.0292850163001812 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80005 0.000022069886428179 0.00657056510355496 0.000022069886428179 0.00657056510355496 0.000300203269995581 0.0417865267071609 0.000180998674326116 0.0251939492158106 0.000119204595669465 0.0165925774913503 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80007 0.0000167939240740902 0.00258293609652816 0.0000167939240740902 0.00258293609652816 0.000221440982745383 0.0157907762142189 0.000136312819062243 0.00972035616106419 0.00008512816368314 0.00607042005315471 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80010 0.000029267574960052 0.00940874014478281 0.000029267574960052 0.00940874014478281 0.000584788738160177 0.0676562914067424 0.000375599347050726 0.0434544258772742 0.000209189391109451 0.0242018655294682 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80011 0.0000318841991559054 0.0110231289874337 0.0000318841991559054 0.0110231289874337 0.000542163837543561 0.0791726290470997 0.000358830236554305 0.0524002732058174 0.000183333600989256 0.0267723558412823 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80012 0.0000279948103187889 0.0102431935992937 0.0000279948103187889 0.0102431935992937 0.000491748441877828 0.0786720667558372 0.000306138559810751 0.0489773859211351 0.000185609882067078 0.0296946808347022 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80013 0.000017323778803052 0.00781866875441834 0.000017323778803052 0.00781866875441834 0.000454359643400739 0.069837013439495 0.000288642458505472 0.0443655759190667 0.000165717184895267 0.0254714375204284 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80014 0.0000429358401682997 0.0151259741339052 0.0000429358401682997 0.0151259741339052 0.000479752076325477 0.0945123766731391 0.000313363664921836 0.0617334373237293 0.000166388411403642 0.0327789393494098 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80015 0.0000153089900950834 0.00663623089920025 0.0000153089900950834 0.00663623089920025 0.000370106761565836 0.0537292540448267 0.000234127951380425 0.0339888958674861 0.000135978810185411 0.0197403581773406 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80016 0.0000136299678927147 0.00498324003327078 0.0000136299678927147 0.00498324003327078 0.0002719319470479 0.0416819431525754 0.00017677908736047 0.0270968378298904 0.0000951528596874298 0.0145851053226851 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80017 0.0000182067983757459 0.00545247256515983 0.0000182067983757459 0.00545247256515983 0.000442707345147295 0.0460713518689758 0.000277261285875106 0.02885382951337 0.000165446059272189 0.0172175223556058 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80018 0.0000125626461744069 0.00220294517096494 0.0000125626461744069 0.00220294517096494 0.000322134933480715 0.0189759077866944 0.000208440251075757 0.0122785285678611 0.000113694682404958 0.00669737921883331 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80019 0.00000895181333113464 0.000682630795920105 0.00000895181333113464 0.000682630795920105 0.000193185809624166 0.0053953860372834 0.000122936424306287 0.00343342747827125 0.0000702493853178785 0.00196195855901214 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80020 0.0000250381476998652 0.00959111404752626 0.0000250381476998652 0.00959111404752626 0.00043676614481409 0.0653691708814567 0.000268468688845401 0.0401807141094364 0.000168297455968689 0.0251884567720203 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80021 0.0000240601781006287 0.00718429021532824 0.0000240601781006287 0.00718429021532824 0.000292214388532747 0.036783048382032 0.000177057712341735 0.0222874802030774 0.000115156676191011 0.0144955681789546 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
