ZIP,cvd_n,resp_n,total_pop,cardiopulm_n,total_pop5y,cardiopulm_per_100p5y,cvd_per_100p5y,resp_per_100p5y
80476,0,1,248,1,1240,0.08064516129032258,0,0.08064516129032258
80477,8,7,414,15,2070,0.7246376811594203,0.3864734299516908,0.33816425120772947
80478,0,1,1531,1,7655,0.013063357282821686,0,0.013063357282821686
80479,0,0,26,0,130,0,0,0
80480,20,16,1290,36,6450,0.5581395348837209,0.31007751937984496,0.248062015503876
80481,13,6,778,19,3890,0.4884318766066838,0.33419023136246784,0.15424164524421594
80482,2,0,1084,2,5420,0.03690036900369004,0.03690036900369004,0
80483,0,0,496,0,2480,0,0,0
80487,246,125,16944,371,84720,0.4379131255901794,0.29036827195467424,0.1475448536355052
80488,0,4,46,4,230,1.7391304347826086,0,1.7391304347826086
80497,2,0,364,2,1820,0.10989010989010989,0.10989010989010989,0
80498,37,33,7299,70,36495,0.1918070968625839,0.10138375119879436,0.09042334566378957
80501,5834,4163,41201,9997,206005,4.852794835076819,2.83197009781316,2.0208247372636587
80503,2779,1656,32657,4435,163285,2.7161098692470222,1.7019322044278407,1.0141776648191814
80504,3114,2071,48431,5185,242155,2.1411905597654397,1.2859532117858397,0.8552373479795998
80510,17,8,560,25,2800,0.8928571428571428,0.6071428571428571,0.2857142857142857
80511,2,4,129,6,645,0.9302325581395349,0.31007751937984496,0.6201550387596899
80512,144,72,1962,216,9810,2.2018348623853212,1.4678899082568808,0.7339449541284404
80758,186,131,3899,317,19495,1.6260579635804053,0.9540907925109002,0.671967171069505
80938,3,3,31,6,155,3.870967741935484,1.935483870967742,1.935483870967742
80951,158,141,3942,299,19710,1.5169964485032978,0.8016235413495687,0.7153729071537291
81001,4607,3865,29614,8472,148070,5.721618153576012,3.111366245694604,2.6102519078814073
81003,2285,2151,15709,4436,78545,5.647717868737667,2.9091603539372337,2.738557514800433
81004,4335,3600,25705,7935,128525,6.173896129157751,3.372884652791286,2.8010114763664653
81005,4656,3249,30692,7905,153460,5.151179460445719,3.034015378600287,2.117164081845432
81006,1651,1185,11762,2836,58810,4.822309131100154,2.807345689508587,2.014963441591566
81007,2991,2333,30674,5324,153370,3.471343809089131,1.9501858251287734,1.5211579839603573
81008,1404,1089,10379,2493,51895,4.803931014548608,2.705462954041815,2.0984680605067925
81019,56,60,1541,116,7705,1.5055158987670343,0.72680077871512,0.7787151200519143
81020,40,30,955,70,4775,1.4659685863874345,0.8376963350785341,0.6282722513089005
81021,1,1,7,2,35,5.714285714285714,2.857142857142857,2.857142857142857
81022,107,101,1418,208,7090,2.933709449929478,1.5091678420310295,1.4245416078984485
81023,150,109,1245,259,6225,4.160642570281124,2.4096385542168677,1.751004016064257
81024,0,1,97,1,485,0.2061855670103093,0,0.2061855670103093
81025,96,85,896,181,4480,4.040178571428572,2.142857142857143,1.8973214285714284
81027,5,0,120,5,600,0.8333333333333334,0.8333333333333334,0
81029,18,12,255,30,1275,2.3529411764705883,1.411764705882353,0.9411764705882352
81030,0,0,142,0,710,0,0,0
81033,0,0,288,0,1440,0,0,0
81036,53,29,984,82,4920,1.6666666666666667,1.0772357723577235,0.5894308943089431
81038,0,1,407,1,2035,0.04914004914004914,0,0.04914004914004914
81039,313,274,1747,587,8735,6.720091585575272,3.5832856325128795,3.1368059530623924
81137,329,235,5704,564,28520,1.9775596072931274,1.1535764375876578,0.8239831697054698
81040,17,17,354,34,1770,1.92090395480226,0.96045197740113,0.96045197740113
81041,31,23,777,54,3885,1.3899613899613898,0.797940797940798,0.5920205920205921
81043,3,4,46,7,230,3.0434782608695654,1.3043478260869565,1.7391304347826086
81044,34,23,306,57,1530,3.7254901960784315,2.2222222222222223,1.5032679738562091
81045,7,3,78,10,390,2.564102564102564,1.7948717948717947,0.7692307692307693
81047,128,101,1637,229,8185,2.797800855222969,1.563836285888821,1.2339645693341477
81049,24,15,308,39,1540,2.5324675324675328,1.5584415584415585,0.974025974025974
81050,1451,1203,9645,2654,48225,5.503369621565578,3.008812856402281,2.4945567651632974
81052,1152,787,9239,1939,46195,4.197423963632428,2.493776382725403,1.7036475809070246
81054,558,438,4666,996,23330,4.269181311615945,2.3917702528932705,1.8774110587226747
81055,50,41,1429,91,7145,1.2736179146256124,0.6997900629811057,0.5738278516445067
80918,3752,2468,48407,6220,242035,2.5698762575660545,1.5501890222488484,1.0196872353172062
80919,1994,1106,27701,3100,138505,2.238186347063283,1.4396592180787697,0.7985271289845133
80920,1994,1268,38320,3262,191600,1.7025052192066805,1.0407098121085594,0.6617954070981211
80921,1072,606,19673,1678,98365,1.7058913231332282,1.0898185330147918,0.6160727901184364
80922,1537,1153,26905,2690,134525,1.9996283218732578,1.1425385616056496,0.8570897602676082
80923,1174,939,28292,2113,141460,1.4937084688251097,0.8299165841934115,0.6637918846316979
80924,170,161,5975,331,29875,1.1079497907949791,0.5690376569037657,0.5389121338912134
80925,281,236,7032,517,35160,1.4704209328782707,0.7992036405005688,0.6712172923777019
80926,152,97,1485,249,7425,3.353535353535354,2.047138047138047,1.3063973063973064
80927,55,57,1153,112,5765,1.94275802254987,0.9540329575021683,0.9887250650477016
80928,77,53,1088,130,5440,2.389705882352941,1.4154411764705883,0.9742647058823529
80929,24,17,282,41,1410,2.9078014184397163,1.702127659574468,1.2056737588652482
80930,89,68,1003,157,5015,3.1306081754735793,1.7746759720837488,1.3559322033898304
80861,10,6,209,16,1045,1.5311004784688995,0.9569377990430622,0.5741626794258373
80862,0,0,38,0,190,0,0,0
80863,595,453,11924,1048,59620,1.7577993961757798,0.9979872525997987,0.7598121435759813
80864,130,95,1142,225,5710,3.940455341506129,2.276707530647986,1.6637478108581436
80902,101,122,12468,223,62340,0.35771575232595443,0.16201475777991659,0.19570099454603784
80903,1533,1194,15166,2727,75830,3.5962020308584997,2.0216273242779903,1.5745747065805091
80904,3005,1924,19884,4929,99420,4.957754978877489,3.022530677932006,1.9352243009454837
80905,1790,1303,17341,3093,86705,3.567268323626088,2.0644714837667952,1.502796839859293
80906,3530,2180,36846,5710,184230,3.09938663626988,1.9160831569234111,1.1833034793464692
80907,3542,2285,27265,5827,136325,4.274344397579314,2.5982028241335047,1.6761415734458096
80908,958,581,13924,1539,69620,2.2105716748060904,1.3760413674231542,0.834530307382936
80909,4855,3349,37199,8204,185995,4.410871259980107,2.610285222721041,1.800586037259066
80910,3534,2589,29674,6123,148370,4.126845049538316,2.381883130012806,1.7449619195255106
80911,2974,2077,31912,5051,159560,3.165580345951366,1.863875658059664,1.3017046878917022
80913,16,23,3269,39,16345,0.2386050780055063,0.09788926277148975,0.14071581523401652
80914,9,5,311,14,1555,0.9003215434083601,0.5787781350482315,0.3215434083601286
80915,2095,1493,20237,3588,101185,3.545980135395563,2.07046498987004,1.4755151455255224
80916,2528,2028,38632,4556,193160,2.358666390557051,1.3087595775522882,1.0499068130047629
80917,2873,1982,30862,4855,154310,3.1462640139977966,1.8618365627632687,1.2844274512345277
81058,110,81,934,191,4670,4.089935760171307,2.355460385438972,1.734475374732334
81059,10,13,347,23,1735,1.3256484149855907,0.57636887608069165,0.7492795389048991
81062,94,72,1940,166,9700,1.711340206185567,0.9690721649484537,0.7422680412371134
81063,273,258,2478,531,12390,4.285714285714286,2.2033898305084745,2.082324455205811
81064,22,15,267,37,1335,2.7715355805243447,1.647940074906367,1.1235955056179776
81067,840,676,6144,1516,30720,4.934895833333333,2.734375,2.2005208333333335
81069,108,90,1554,198,7770,2.5482625482625485,1.3899613899613898,1.1583011583011582
81071,13,9,338,22,1690,1.301775147928994,0.7692307692307693,0.5325443786982248
81073,158,97,1856,255,9280,2.747844827586207,1.7025862068965516,1.0452586206896552
81076,39,47,664,86,3320,2.5903614457831328,1.1746987951807228,1.4156626506024097
81077,2,0,522,2,2610,0.07662835249042146,0.07662835249042146,0
81081,9,8,36,17,180,9.444444444444445,5,4.444444444444445
81082,1736,1445,12046,3181,60230,5.281421218661796,2.882284575792794,2.399136642869002
81084,4,0,121,4,605,0.6611570247933884,0.6611570247933884,0
81087,3,3,235,6,1175,0.5106382978723404,0.2553191489361702,0.2553191489361702
81089,605,453,4399,1058,21995,4.810184132757445,2.750625142077745,2.0595589906797
81090,17,18,1075,35,5375,0.6511627906976745,0.31627906976744186,0.33488372093023255
81091,96,58,844,154,4220,3.6492890995260665,2.2748815165876777,1.3744075829383886
81092,49,50,816,99,4080,2.4264705882352944,1.200980392156863,1.2254901960784315
81101,932,743,15330,1675,76650,2.1852576647097193,1.2159165035877364,0.9693411611219831
81120,56,27,2052,83,10260,0.8089668615984406,0.5458089668615985,0.2631578947368421
81121,0,0,262,0,1310,0,0,0
81122,457,290,7909,747,39545,1.8889872297382728,1.155645467189278,0.7333417625489949
81123,21,9,1112,30,5560,0.539568345323741,0.3776978417266187,0.1618705035971223
81124,0,0,106,0,530,0,0,0
81125,106,76,3251,182,16255,1.1196554906182714,0.6521070439864657,0.4675484466318056
81126,0,0,215,0,1075,0,0,0
81128,0,0,117,0,585,0,0,0
81129,0,0,187,0,935,0,0,0
81130,12,9,726,21,3630,0.5785123966942148,0.3305785123966942,0.24793388429752067
81131,0,0,1173,0,5865,0,0,0
81132,311,228,3249,539,16245,3.3179439827639277,1.9144352108341027,1.4035087719298245
81133,21,12,876,33,4380,0.7534246575342466,0.4794520547945206,0.273972602739726
81136,5,6,171,11,855,1.2865497076023393,0.5847953216374269,0.7017543859649122
81138,0,0,42,0,210,0,0,0
81140,119,64,2718,183,13590,1.346578366445916,0.8756438557763061,0.47093451066961
81141,1,0,1436,1,7180,0.01392757660167131,0.01392757660167131,0
81143,23,13,667,36,3335,1.0794602698650675,0.6896551724137931,0.38980509745127434
81144,696,553,7015,1249,35075,3.5609408410548826,1.98431931575196,1.5766215253029223
81146,33,25,652,58,3260,1.7791411042944787,1.012269938650307,0.7668711656441718
81147,441,269,11593,710,57965,1.2248770809971534,0.760803933408091,0.4640731475890623
80521,1745,1125,35697,2870,178485,1.6079782614785556,0.9776731938258117,0.630305067652744
80524,3763,2363,32068,6126,160340,3.820631158787576,2.3468878632905077,1.4737432954970688
80525,4851,2818,49259,7669,246295,3.113745711443594,1.9695893136279663,1.1441563978156277
80526,3402,1978,45522,5380,227610,2.363692280655507,1.4946619217081851,0.8690303589473222
80528,987,639,18576,1626,92880,1.7506459948320414,1.0626614987080103,0.687984496124031
80530,242,195,3622,437,18110,2.4130314743235783,1.3362782992821647,1.0767531750414137
80532,2,1,100,3,500,0.6,0.4,0.2
80534,924,579,13068,1503,65340,2.3002754820936637,1.4141414141414141,0.8861340679522498
80535,105,73,2962,178,14810,1.2018906144496961,0.7089804186360568,0.4929101958136394
80536,174,67,2029,241,10145,2.3755544603252834,1.7151306062099556,0.6604238541153278
80654,151,84,2518,235,12590,1.8665607625099285,1.1993645750595712,0.6671961874503575
80701,1431,1010,16370,2441,81850,2.9822846670739156,1.7483200977397677,1.2339645693341477
80705,82,46,906,128,4530,2.8256070640176603,1.8101545253863136,1.0154525386313467
80720,302,194,2833,496,14165,3.5015884221673135,2.1320155312389693,1.3695728909283444
80721,2,7,147,9,735,1.2244897959183674,0.27210884353741494,0.9523809523809524
80537,5338,3474,40278,8812,201390,4.375589651919162,2.6505784795670095,1.7250111723521526
